Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,HeadquartersCity,HeadquartersState
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,yes,yes,yes,2100000,484852.8,648125,6,15511,32.8,252399,C. Douglas McMillon,Bentonville,Arkansas
2,Amazon,AMZN,Retailing,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,1525000,1873675.8,574785,11.8,30425,,527854,Andrew R. Jassy,Seattle,Washington
3,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,no,no,yes,yes,no,161000,2647973.8,383285,-2.8,96995,-2.8,352583,Timothy D. Cook,Cupertino,California
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,no,no,yes,yes,no,440000,456080.8,371622,14.6,22381,11.2,273720,Andrew P. Witty,Minnetonka,Minnesota
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,no,no,yes,yes,no,396500,908919.7,364482,20.7,96223,,1069978,Warren E. Buffett,Omaha,Nebraska
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,no,no,no,yes,yes,no,259500,100373.9,357776,10.9,8344,101.1,249728,Karen S. Lynch,Woonsocket,Rhode Island
7,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,-4,no,yes,no,yes,no,no,61500,461222.2,344582,-16.7,36010,-35.4,376317,Darren W. Woods,Spring,Texas
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,182502,1884633,307394,8.7,73795,23,402392,Sundar Pichai,Mountain View,California
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,yes,no,no,48000,70546.5,276711,4.8,3560,219.6,62320,Brian S. Tyler,Irving,Texas
10,Cencora,COR,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Steven H. Collis,Conshohocken,Pennsylvania
11,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,1,yes,no,no,yes,yes,no,316000,324924.4,242290,6.8,6292,7.7,68994,Ron M. Vachris,Issaquah,Washington
12,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,11,yes,no,no,yes,yes,no,309926,576938.4,239425,54.7,49552,31.5,3875393,James Dimon,New York,New York
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,no,0,no,no,no,yes,yes,no,221000,3126133.1,211915,6.9,72361,-0.5,411976,Satya Nadella,Redmond,Washington
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,yes,no,no,yes,0,no,no,no,yes,no,no,47520,27217.8,205012,13,261,,43417,Jason M. Hollar,Dublin,Ohio
15,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,-5,no,yes,no,yes,no,no,45600,292965.6,200949,-18.4,21369,-39.7,261632,Michael K. Wirth,San Ramon,California
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1,no,yes,no,yes,no,no,71413,103017.9,195265,8.2,5164,-22.6,152761,David M. Cordani,Bloomfield,Connecticut
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2,yes,no,no,yes,no,no,177000,53017.8,176191,11.5,4347,,273310,James D. Farley Jr.,Dearborn,Michigan
18,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,no,14,yes,no,no,yes,yes,yes,212985,299213,171912,49.4,26515,-3.7,3180151,Brian T. Moynihan,Charlotte,North Carolina
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2,yes,no,no,yes,no,no,163000,52353.5,171842,9.6,10127,1.9,273064,Mary T. Barra,Detroit,Michigan
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2,yes,no,no,yes,yes,yes,104900,120619.6,171340,9.4,5987,-0.6,108928,Gail K. Boudreaux,Indianapolis,Indiana
21,Citigroup,C,Financials,Commercial Banks,yes,no,yes,no,15,yes,no,no,yes,no,no,237925,121122.2,156820,55.1,9228,-37.8,2411834,Jane Fraser,New York,New York
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3,yes,no,no,yes,yes,no,67700,41979.4,153999,6.5,2702,124.8,84641,Sarah M. London,St. Louis,Missouri
23,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,no,yes,no,yes,yes,no,463100,380153.7,152669,-3,15143,-11.5,76530,Edward P. Decker,Atlanta,Georgia
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,-8,no,yes,no,yes,no,no,18200,72607.7,150307,-16.5,9681,-33.3,85987,Maryann T. Mannen,Findlay,Ohio
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,yes,no,no,no,-1,no,yes,no,yes,no,no,414000,41100.7,150039,1.2,2164,-3.6,50505,W. Rodney McMullen,Cincinnati,Ohio
26,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,yes,-9,no,yes,no,yes,no,no,14000,69880.8,149890,-14.7,7015,-36.4,75501,Mark E. Lashier,Houston,Texas
27,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,1,yes,no,no,yes,no,no,8100,1818.2,141240,16.2,17408,34.7,4325437,Priscilla Almodovar,Washington,District Of Columbia
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,no,no,no,yes,-1,no,yes,no,yes,no,no,268500,18712.3,139081,4.8,-3080,-171,96628,Timothy Wentworth,Deerfield,Illinois
29,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,yes,-11,no,yes,no,yes,no,no,9897,56234.5,139001,-18.8,8835,-23.4,63056,R. Lane Riggs,San Antonio,Texas
30,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,no,1,yes,no,no,yes,yes,no,67317,1237940.1,134902,15.7,39098,68.5,229623,Mark Zuckerberg,Menlo Park,California
31,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-5,no,yes,no,yes,yes,no,105400,176651.6,133974,-2.1,11614,-45.4,380255,Hans E. Vestberg,New York,New York
32,AT&T,T,Telecommunications,Telecommunications,yes,no,no,no,-2,no,yes,no,yes,yes,no,150470,125889.1,122428,1.4,14400,,407060,John T. Stankey,Dallas,Texas
33,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-4,no,yes,no,yes,yes,yes,186000,172180,121572,0.1,15388,186.6,264811,Brian L. Roberts,Philadelphia,Pennsylvania
34,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,13,yes,no,no,yes,no,no,226000,205201.8,115340,39.2,19142,45.2,1932468,Charles W. Scharf,San Francisco,California
35,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,yes,yes,no,45300,135551.7,108418,57.8,8516,-24.4,1641594,David M. Solomon,New York,New York
36,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,9,yes,no,no,yes,no,no,8020,877.6,108050,24.6,10538,13,3280976,Michael T. Hutchins,McLean,Virginia
37,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-4,no,yes,no,yes,yes,yes,415000,81816.1,107412,-1.6,4138,48.8,55356,Brian C. Cornell,Minneapolis,Minnesota
