Gender,Department,Age,Energetic_level,Job_inspiring,Sense_of_fulfilment,Happy,Accept_challenges,Recognition,Belonging_to_org,Concern_About_img_of_org,Recommend_to_other,Quiting_Thought,New_job_plan,Looking_job_change,Stay_in_fututre,wish_to_leave_org,Stressful_manager,Being_here_and_now,Employee_Engagement,Employee_Retention
Male,Finance,Age between 20 and 25,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Disagree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disgree,Niether Agree nor Disagree,Strongly Agree,Disgree,Strongly Agree,Strongly Agree,Strongly DIsagree,2.2222222222222223,2.5
Female,Security,Age between 36 and 40,Strongly Disagree,Strongly Agree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Disgree,Niether Agree nor Disagree,Agree,Agree,Disgree,Niether Agree nor Disagree,Agree,Strongly Agree,Disgree,Disgree,Disgree,2.7777777777777777,3.5
Male,Security,Age Greater than 40,Agree,Niether Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Niether Agree nor Disagree,Disgree,Agree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly DIsagree,Agree,Strongly Agree,3.4444444444444446,2.6666666666666665
Female,House Keeping,Age between 31 and 35,Strongly Agree,Disgree,Agree,Disgree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly DIsagree,Agree,Disgree,Strongly Agree,Disgree,Strongly DIsagree,Disgree,3.111111111111111,4.0
Male,F&B Service,Age between 31 and 35,Strongly Disagree,Agree,Strongly Disagree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Agree,Agree,Disgree,Strongly DIsagree,Disgree,Strongly Agree,Strongly DIsagree,Agree,Niether Agree nor Disagree,Strongly DIsagree,2.888888888888889,3.3333333333333335
Male,F&B production,Age between 20 and 25,Niether Agree nor Disagree,Disgree,Disgree,Strongly Agree,Disgree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disgree,Agree,Strongly Agree,Strongly Agree,Disgree,3.2222222222222223,2.1666666666666665
Male,Human Resouces,Age between 31 and 35,Disgree,Disgree,Disgree,Agree,Strongly Agree,Agree,Strongly Agree,Niether Agree nor Disagree,Agree,Agree,Strongly DIsagree,Agree,Strongly DIsagree,Disgree,Niether Agree nor Disagree,Strongly Agree,3.4444444444444446,2.8333333333333335
Female,Sales & Marketing,Age between 36 and 40,Niether Agree nor Disagree,Agree,Strongly Agree,Disgree,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Disgree,Strongly DIsagree,Niether Agree nor Disagree,Disgree,Strongly DIsagree,Strongly DIsagree,Disgree,Agree,3.2222222222222223,3.8333333333333335
Female,Finance,Age Greater than 40,Agree,Strongly Agree,Agree,Disgree,Disgree,Strongly Agree,Agree,Agree,Niether Agree nor Disagree,Agree,Agree,Disgree,Niether Agree nor Disagree,Strongly DIsagree,Niether Agree nor Disagree,Strongly Agree,3.6666666666666665,2.8333333333333335
Female,Finance,Age between 20 and 25,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disgree,Strongly Agree,Disgree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Agree,Strongly DIsagree,Disgree,Strongly Agree,Disgree,Strongly DIsagree,3.0,3.3333333333333335
Female,Finance,Age between 36 and 40,Agree,Agree,Agree,Niether Agree nor Disagree,Disgree,Niether Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly DIsagree,Disgree,Strongly Agree,Strongly Agree,Niether Agree nor Disagree,Disgree,Disgree,3.3333333333333335,3.5
Female,Sales & Marketing,Age between 20 and 25,Strongly Agree,Niether Agree nor Disagree,Strongly Disagree,Disgree,Disgree,Agree,Disgree,Disgree,Disgree,Disgree,Agree,Strongly DIsagree,Strongly Agree,Strongly Agree,Agree,Strongly DIsagree,2.5555555555555554,3.1666666666666665
Female,F&B Service,Age Greater than 40,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,Strongly Disagree,Agree,Disgree,Niether Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly DIsagree,Strongly Agree,Strongly DIsagree,Strongly DIsagree,Strongly DIsagree,Strongly Agree,Disgree,2.888888888888889,3.5
Male,Human Resouces,Age between 36 and 40,Strongly Disagree,Agree,Strongly Disagree,Agree,Disgree,Disgree,Strongly Disagree,Agree,Agree,Niether Agree nor Disagree,Strongly DIsagree,Agree,Strongly Agree,Niether Agree nor Disagree,Strongly Agree,Strongly Agree,2.5555555555555554,2.5
Male,F&B Service,Age Greater than 40,Agree,Niether Agree nor Disagree,Strongly Agree,Niether Agree nor Disagree,Strongly Agree,Disgree,Disgree,Agree,Disgree,Agree,Agree,Agree,Disgree,Agree,Disgree,Strongly DIsagree,3.3333333333333335,2.8333333333333335
Male,F&B production,Age Greater than 40,Strongly Disagree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Niether Agree nor Disagree,Agree,Strongly DIsagree,Disgree,Strongly DIsagree,Agree,Strongly DIsagree,3.4444444444444446,3.6666666666666665
Female,Sales & Marketing,Age Greater than 40,Niether Agree nor Disagree,Niether Agree nor Disagree,Agree,Niether Agree nor Disagree,Agree,Strongly Disagree,Disgree,Disgree,Strongly Agree,Strongly DIsagree,Niether Agree nor Disagree,Strongly DIsagree,Niether Agree nor Disagree,Strongly Agree,Strongly DIsagree,Strongly DIsagree,3.0,4.0
Female,Security,Age between 20 and 25,Strongly Agree,Niether Agree nor Disagree,Disgree,Strongly Disagree,Disgree,Strongly Agree,Disgree,Strongly Agree,Disgree,Agree,Strongly Agree,Strongly Agree,Strongly DIsagree,Strongly DIsagree,Disgree,Disgree,3.0,2.8333333333333335
Female,Human Resouces,Age between 31 and 35,Strongly Agree,Niether Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Niether Agree nor Disagree,Agree,Agree,Agree,Strongly DIsagree,Strongly Agree,Agree,Agree,Disgree,Strongly Agree,3.3333333333333335,2.5
Female,Human Resouces,Age Greater than 40,Strongly Agree,Strongly Agree,Strongly Disagree,Disgree,Strongly Disagree,Agree,Disgree,Strongly Agree,Niether Agree nor Disagree,Niether Agree nor Disagree,Strongly DIsagree,Strongly Agree,Agree,Strongly DIsagree,Strongly Agree,Strongly DIsagree,3.111111111111111,3.3333333333333335
