ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
5874,Smartphones,Other Brands,312,18,Male,2,1,0
5875,Smart Watches,Samsung,980,35,Female,7,2,1
5876,Tablets,Samsung,2606,63,Male,1,5,1
5877,Smartphones,Samsung,870,63,Female,10,3,1
5878,Tablets,Sony,1798,57,Male,17,3,0
5879,Smartphones,Samsung,373,37,Female,8,1,1
5880,Smartphones,Samsung,2330,26,Female,5,5,1
5881,Smartphones,HP,780,35,Male,12,5,1
5882,Laptops,Other Brands,2264,19,Female,3,4,1
5883,Laptops,HP,1001,66,Female,8,4,1
5884,Smartphones,Other Brands,879,20,Female,1,3,0
5885,Laptops,Apple,1563,38,Female,14,2,1
5886,Tablets,Samsung,1297,48,Male,1,3,0
5887,Headphones,Sony,1756,62,Male,2,5,1
5888,Headphones,Apple,2486,54,Male,12,4,1
5889,Tablets,HP,1280,33,Male,1,2,0
5890,Tablets,Samsung,2388,29,Female,3,4,1
5891,Smartphones,Apple,420,26,Male,16,1,0
5892,Tablets,Apple,1224,28,Male,4,5,0
5893,Smart Watches,Samsung,2441,43,Male,5,5,1
5894,Smartphones,Other Brands,1073,58,Male,4,3,0
5895,Headphones,HP,2815,34,Male,12,2,0
5896,Laptops,HP,206,65,Male,18,4,1
5897,Headphones,HP,374,67,Female,7,5,1
5898,Headphones,Other Brands,835,23,Male,17,2,0
5899,Laptops,HP,887,61,Female,10,1,1
5900,Tablets,Samsung,2158,58,Female,12,4,1
5901,Smartphones,Apple,1581,64,Male,5,5,1
5902,Smart Watches,HP,2096,37,Male,18,1,0
5903,Headphones,Apple,2106,55,Male,15,5,1
5904,Smartphones,Other Brands,2697,56,Female,10,2,1
5905,Tablets,HP,1342,28,Female,17,4,1
5906,Tablets,Other Brands,2633,42,Male,2,2,0
5907,Smartphones,Apple,958,57,Female,2,2,1
5908,Smartphones,Apple,2417,39,Female,9,4,1
5909,Smartphones,HP,1678,50,Male,14,5,1
5910,Headphones,Other Brands,2522,52,Female,14,5,1
5911,Tablets,Other Brands,1440,50,Female,1,2,1
5912,Laptops,Samsung,322,40,Male,7,3,0
5913,Smart Watches,Samsung,688,41,Male,10,2,0
5914,Smart Watches,HP,947,29,Female,18,2,0
5915,Smart Watches,HP,2265,65,Female,19,2,1
5916,Tablets,Other Brands,1951,30,Female,2,1,0
5917,Headphones,HP,2303,47,Female,4,3,1
5918,Smart Watches,Apple,2618,60,Female,18,5,1
5919,Smartphones,Samsung,660,29,Female,9,1,0
5920,Tablets,Sony,1568,41,Female,17,3,1
5921,Laptops,Samsung,2164,21,Male,16,3,0
5922,Smart Watches,Sony,364,33,Female,17,4,1
5923,Smartphones,Apple,1513,49,Female,1,5,1
5924,Laptops,Samsung,1172,57,Male,9,2,0
5925,Tablets,Other Brands,1012,26,Male,18,5,0
5926,Smart Watches,Sony,1283,21,Female,4,4,1
5927,Smartphones,HP,2828,19,Female,12,2,0
5928,Smartphones,HP,202,18,Male,1,5,0
5929,Smart Watches,Samsung,551,27,Female,5,4,1
5930,Smart Watches,Samsung,2674,51,Male,19,2,0
5931,Laptops,Other Brands,803,25,Male,6,5,0
5932,Tablets,Sony,2721,25,Female,15,3,0
5933,Tablets,Apple,468,69,Male,2,3,0
5934,Headphones,Other Brands,1836,67,Male,10,2,0
5935,Smart Watches,Sony,1659,44,Female,17,5,1
5936,Tablets,Other Brands,2093,69,Male,11,3,0
5937,Laptops,Apple,585,33,Female,11,4,1
5938,Smartphones,Other Brands,2724,67,Male,3,1,0
5939,Smart Watches,Apple,1360,37,Male,17,5,1
5940,Smartphones,HP,2956,24,Male,9,5,0
5941,Tablets,Apple,750,23,Male,17,5,0
5942,Smart Watches,Other Brands,2130,28,Male,19,2,0
5943,Smart Watches,Sony,385,22,Female,7,4,1
5944,Smart Watches,Sony,2865,61,Male,19,5,1
5945,Smart Watches,Samsung,1975,19,Female,4,1,0
5946,Headphones,HP,2559,67,Female,16,5,1
5947,Smart Watches,Other Brands,1613,25,Female,2,2,0
5948,Tablets,Samsung,1500,62,Male,3,3,0
5949,Smartphones,Other Brands,1969,35,Male,10,1,0
5950,Tablets,Other Brands,262,41,Female,18,4,1
5951,Tablets,Other Brands,1797,33,Male,1,4,1
5952,Smartphones,Sony,789,42,Female,16,4,1
5953,Smartphones,Apple,826,26,Male,14,5,0
5954,Headphones,Apple,2351,53,Male,12,4,1
5955,Smart Watches,Sony,1227,51,Male,18,1,0
5956,Smart Watches,Sony,124,68,Female,3,3,1
5957,Tablets,HP,1111,53,Male,6,3,0
5958,Smartphones,Samsung,2647,60,Male,5,2,0
5959,Tablets,Sony,1351,67,Female,13,1,1
5960,Laptops,Apple,233,69,Male,7,1,0
5961,Tablets,Apple,1191,68,Male,11,5,1
5962,Headphones,Samsung,2487,57,Female,17,2,1
5963,Headphones,Sony,1261,65,Female,10,5,1
5964,Laptops,Apple,109,37,Female,14,4,1
5965,Headphones,Samsung,2506,55,Female,15,4,1
5966,Smart Watches,Samsung,2679,64,Male,13,1,0
5967,Tablets,HP,1237,48,Male,3,2,0
5968,Smart Watches,HP,2679,25,Female,14,4,1
5969,Smartphones,Apple,409,46,Male,19,1,0
5970,Headphones,Apple,1505,27,Female,14,2,0
5971,Smart Watches,Sony,223,55,Male,13,5,1
5972,Smart Watches,Apple,1374,48,Female,11,4,1
5973,Headphones,Samsung,1505,53,Female,12,3,1
5974,Headphones,Other Brands,1678,30,Female,16,3,0
5975,Headphones,Other Brands,224,51,Male,13,2,0
5976,Headphones,Samsung,2509,50,Male,18,3,0
5977,Laptops,Samsung,1186,47,Female,5,5,1
5978,Smart Watches,Apple,2866,69,Female,3,2,1
5979,Headphones,HP,2761,45,Male,11,4,1
5980,Laptops,HP,2335,53,Male,1,3,0
5981,Smart Watches,Sony,1531,64,Female,9,3,1
5982,Laptops,Other Brands,2315,25,Male,12,2,0
5983,Tablets,Other Brands,2775,56,Female,15,4,1
5984,Headphones,HP,853,58,Female,18,5,1
5985,Laptops,Sony,576,28,Female,5,5,1
5986,Headphones,Other Brands,492,42,Female,17,4,1
5987,Smart Watches,Other Brands,2403,65,Male,4,2,0
5988,Smartphones,Sony,2709,63,Male,17,4,1
5989,Headphones,Samsung,1966,45,Male,15,1,0
5990,Laptops,Sony,1950,30,Male,19,2,0
5991,Smart Watches,Apple,2765,56,Female,8,2,1
5992,Tablets,HP,1929,25,Male,4,5,0
5993,Laptops,Sony,2843,25,Male,19,5,0
5994,Headphones,Sony,2315,21,Female,16,3,0
5995,Laptops,Other Brands,1478,45,Male,18,3,0
5996,Tablets,Apple,2432,53,Female,13,1,1
5997,Laptops,Other Brands,2584,38,Male,9,1,0
5998,Laptops,HP,1984,67,Female,14,3,1
5999,Smartphones,HP,1395,31,Male,4,4,1
6000,Headphones,Sony,2096,46,Male,14,3,0
6001,Tablets,HP,2446,46,Male,7,4,1
6002,Smartphones,HP,1479,38,Female,6,5,1
6003,Smart Watches,Sony,2578,56,Male,16,1,0
6004,Laptops,Apple,565,20,Male,7,3,0
6005,Laptops,Sony,1615,19,Female,12,2,0
6006,Smartphones,Apple,1375,33,Female,7,3,1
6007,Smartphones,Sony,1704,47,Male,8,3,0
6008,Headphones,Samsung,2566,21,Female,2,3,0
6009,Smartphones,Other Brands,2574,60,Female,8,5,1
6010,Headphones,Samsung,1019,28,Female,6,3,0
6011,Smart Watches,Samsung,1405,28,Male,10,2,0
6012,Tablets,Sony,772,18,Female,11,2,0
6013,Smartphones,Samsung,2723,48,Male,17,1,0
6014,Tablets,Sony,383,60,Female,10,3,1
6015,Headphones,Other Brands,1913,27,Male,11,2,0
6016,Smart Watches,Samsung,2782,32,Male,19,5,1
6017,Smartphones,Other Brands,466,42,Female,18,4,1
6018,Smartphones,HP,1048,51,Male,3,5,1
6019,Smart Watches,Samsung,1806,49,Male,8,2,0
6020,Tablets,Other Brands,2865,65,Female,7,5,1
6021,Smartphones,Other Brands,1481,42,Male,18,4,1
6022,Smart Watches,Apple,233,36,Female,11,2,1
6023,Smartphones,HP,2090,66,Female,18,5,1
6024,Laptops,HP,1468,33,Male,14,1,0
6025,Headphones,HP,731,19,Female,19,3,0
6026,Laptops,Sony,2983,41,Male,11,2,0
6027,Smartphones,Samsung,1997,38,Male,10,4,1
6028,Smartphones,Sony,1206,20,Male,1,1,0
6029,Laptops,Apple,1752,51,Female,6,3,1
6030,Smartphones,Samsung,936,58,Male,10,4,1
6031,Smart Watches,Sony,420,60,Male,13,5,1
6032,Smartphones,Apple,2291,66,Female,17,1,1
6033,Smart Watches,HP,2441,59,Male,1,4,1
6034,Tablets,Sony,345,23,Female,8,4,1
6035,Headphones,Other Brands,832,55,Female,7,3,1
6036,Tablets,HP,1667,18,Female,19,5,1
6037,Laptops,HP,330,47,Female,8,1,1
6038,Smart Watches,Apple,2884,50,Male,11,5,1
6039,Smart Watches,Other Brands,162,40,Female,8,5,1
6040,Headphones,HP,1636,42,Male,19,4,1
6041,Headphones,Samsung,1402,57,Male,8,4,1
6042,Tablets,HP,1951,21,Female,10,3,0
6043,Smartphones,HP,1909,26,Female,18,3,0
6044,Smartphones,HP,351,69,Male,8,1,0
6045,Headphones,Sony,1488,56,Female,3,1,1
6046,Smartphones,Apple,1674,45,Female,7,1,1
6047,Smart Watches,Other Brands,782,39,Female,4,3,1
6048,Headphones,Apple,400,42,Female,19,2,1
6049,Headphones,Sony,1508,50,Male,5,3,0
6050,Headphones,Other Brands,906,67,Male,2,2,0
6051,Headphones,Apple,510,21,Female,13,1,0
6052,Headphones,Samsung,2994,22,Female,4,3,0
6053,Tablets,Other Brands,979,58,Male,5,3,0
6054,Laptops,HP,941,34,Male,3,5,1
